Country,Year,Mortality Rate,Oil Consumption per capita (tonnes per year),Population,GDP per capita (US$),Continent,GDP per capita (log US$)
Turkmenistan,1968,19.5,4.42,2078581,10864,Asia,9.293209849798478
Ukraine,1968,19.4,0.94,46635196,9507,Europe,9.15978364835903
United States,1968,24.9,3.09,200706000,4695,North America,8.454253391642363
Uzbekistan,1968,49.7,1.06,11261600,3976,Asia,8.288031567776464
South Africa,1968,50.0,0.34,21050540,813,Africa,6.70073110954781
United Arab Emirates,1969,107.5,0.47,253261,24141,Asia,10.091666918814242
Argentina,1969,72.4,1.04,23472028,1331,South America,7.193685818395112
Australia,1969,21.7,1.88,12263000,2991,Oceania,8.003363058629947
Austria,1969,29.3,1.11,7441055,1825,Europe,7.509335266016592
Azerbaijan,1969,10.6,4.35,5063300,17680,Asia,9.780189336191635
Bangladesh,1969,228.6,0.42,65866908,128,Asia,4.852030263919617
Bulgaria,1969,33.9,0.92,8434172,10202,Europe,9.230339058482873
Belarus,1969,18.1,1.29,8960304,9257,Europe,9.133135301067211
Brazil,1969,136.0,0.24,94000381,395,South America,5.978885764901122
Canada,1969,23.0,3.15,21028000,3763,North America,8.232971790593437
Switzerland,1969,19.2,1.83,6136387,3344,Europe,8.114922974204593
Chile,1969,82.1,0.47,9656299,865,South America,6.762729506931879
China,1969,118.8,0.03,796025000,100,Asia,4.605170185988092
Colombia,1969,101.1,0.2,20392264,316,South America,5.755742213586912
Germany,1969,26.4,1.62,77909682,10001,Europe,9.210440366976517
Denmark,1969,17.4,3.37,4891860,3151,Europe,8.055475141757274
Algeria,1969,242.6,0.13,13491016,315,Africa,5.752572638825633
Ecuador,1969,139.9,0.16,5997037,518,South America,6.249975242259483
Spain,1969,33.9,0.74,33441054,1077,Europe,6.981934677156389
Finland,1969,16.8,2.08,4623785,2178,Europe,7.686162303492906
France,1969,19.1,1.65,51272683,2767,Europe,7.925518979786926
United Kingdom,1969,21.4,1.76,55441750,2100,Europe,7.649692623711514
Greece,1969,33.8,0.71,8772764,1324,Europe,7.188412736496954
Hungary,1969,39.8,0.5,10298723,4530,Europe,8.41847721847708
Indonesia,1969,171.6,0.06,112149246,74,Asia,4.30406509320417
India,1969,217.5,0.04,545314670,107,Asia,4.672828834461906
Ireland,1969,23.0,1.24,2932650,1291,Europe,7.1631723908466425
Iceland,1969,16.6,2.64,203369,2039,Europe,7.620214770574455
Italy,1969,35.1,1.46,53537950,1813,Europe,7.502738210754851
Japan,1969,18.5,1.65,102219000,1684,Asia,7.428927194802272
Kazakhstan,1969,58.5,0.71,12042478,1778,Asia,7.48324441607385
"Korea, Rep.",1969,66.0,0.22,31544266,243,Asia,5.493061443340548
Kuwait,1969,74.9,6.53,743044,3726,Asia,8.223090551161533
Lithuania,1969,24.9,1.92,3107321,11551,Europe,9.35452729228868
Mexico,1969,110.6,0.36,48714394,666,North America,6.501289670540389
Malaysia,1969,57.6,0.24,10061684,364,Asia,5.8971538676367405
Netherlands,1969,16.4,2.57,12877984,2642,Europe,7.879291485082271
Norway,1969,16.9,1.93,3847707,2875,Europe,7.963807953231451
New Zealand,1969,21.2,1.22,2772800,2077,Oceania,7.638679823876112
Pakistan,1969,194.1,0.08,57676805,150,Asia,5.0106352940962555
Peru,1969,170.1,0.35,13213739,485,South America,6.184148890937483
Philippines,1969,84.2,0.18,36477170,262,Asia,5.568344503761097
Poland,1969,37.6,0.26,32548300,9979,Europe,9.208238163884312
Portugal,1969,72.7,0.44,8757705,795,Europe,6.678342114654332
Qatar,1969,71.3,1.07,104517,5430,Asia,8.599694412927981
Romania,1969,61.8,0.49,20009141,9771,Europe,9.187174093944343
Saudi Arabia,1969,43.4,3.66,5844843,767,Asia,6.642486801367256
